property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payment,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,נאות אפקה ב,רוממה 40,3.0,6,107,,,12,886,802,7,ללא תיווך!!! דירת מרווחת ומוארת בעיצוב אדריכלי 3 חדרי שינה וסלון בפרוייקט מגדלי צהלה המבוקשים נא להתקשר בימים א-ה בין 9-18:30,1,0,1,1,0,0,1,1,1,0,11000.0,6,9803.0
דירה,אזורי חן,שמואל שניצר 4,3.0,9,88,,,1,,,12,"דירה יפייפיה ומושקעת! קומה גבוהה, מרפסת ללא קירויי, פתוחה לגמרי ללא שמש. נוף פתוח לכיוון הים! שטופת אור אך ללא שמש ישירה. שומר 24/7!  2 חניות. מטבח גדול מאוד וממ""ד מרווח! ארונות קיר איכותיים בחדרי השינה. מטבח מאובזר במדיח בילד אין + אפשרות להשאיר כיריים ותנור אפייה",1,0,1,1,0,0,1,1,1,1,10800.0,5,7097.0
דירה,הדר יוסף,קהילת ורשה 39,4.0,4,105,,,12,,,7,"ללא תיווך !!!!! חדשה מקבלן 4 חדרים 2 חדרי מקלחת 2 שירותים חנייה רגילה  מעלית ומרפסת שמש מפנקת .באיזור שקט מוארת ואטרקטיבית כוללת ממ""ד ןמאסטר הורים",1,0,1,0,0,0,1,1,0,0,9500.0,7,9675.0
דירה,לבנה,בושם 95,3.5,4,75,,0.0,12,,,8,"פנסיונרית מחפשת שותפה דוברת רוסית.  דירת 3.5 חדרים, קומה 4 מ-8. יש חניה ומעלית. מושכר חדר הורים עם מקלחת ושירותים. יש מיטה, טלוויזיה, מזגן חדש בכל חדר. יש ממ""ד, מרפסת שמש, סורגים. מיקום מעולה,נוח, 5 דקות הליכה לפארק דרום. תחבורה ציבורית עם אוטובוסים לכל מקום. מצורפות תמונות של הדירה.  החדר מושכר ב-2500 ש""ח כולל כל החשבונות (חשמל, מים, גז, ארנונה, אינטרנט, ועד הבית) ",1,0,1,1,1,1,1,1,1,1,2500.0,6,6213.0
דירה,לבנה,דרך חיים ברלב 108,4.0,8,84,,0.0,12,,,9,"השכרה לשנה, דירת 4 חדרים משופצת+ממד+מרפסת שרות. קומה 8, כיווני וויר דרום ומערב, נוף פתוח, קרוב לפארק. צמוד לגני ילדים ו 2 ביתי ספר (גם ממלכתי דתי) ומרכז מסחרי. צמוד לתחבורה ציבורית לכל העיר",1,0,1,1,0,0,1,1,0,1,8000.0,10,6123.0
דירה,לבנה,בושם 32,3.0,2,64,,0.0,12,460,20,3,"קומה 2 מתוך 3 משופצת מטבח גדול ומרווח הבית בריצוף שיש החלונות עם סורגים של טרלידור דלת פלדלת חנייה בשפע  דוד שמש + חשמל מזגנים בחדרים ובסלון 2 כיווני אוויר (מזרח ומערב) כניסה מיידית מטבח כולל: תמי 4, כיריים, תנור, אי קטן ושלוש כסאות בר. סלון כולל: ספה 2+3, מזנון, שולחן וטלוויזיה, פינת אוכל עם ארבע כסאות חדר שינה 1 כולל: ארון, שידה גדולה  חדר שינה 2 כולל: ארון קיר גדול חדש, שידה, טלוויזיה מחסן קטן: מכונת כביסה חדשה (נרכשה לפני כחודש) 7 ק""ג",1,1,0,1,0,1,0,0,1,1,5200.0,13,7114.0
דירה,לבנה,מור 2,5.0,2,110,,,2,1000,350,8,"דירת 5 חדרים (כוללת יחידת הורים), בבניין בן 5 שנים, להשכרה לטווח ארוך.",1,0,1,1,1,0,1,1,0,0,8100.0,7,7223.0
דירה,נאות אפקה ב,גרציאני יצחק 8,4.0,12,101,,,12,1600,1850,20,"(לא מתיווך) במגדל גינדי 3 החדש. דירת 4 חדרים פונה לפארק עם יחידת מאסטר, 2 חדרי שינה נוספים ומטבח משודרג. בבניין יש בריכה בrooftop, חדר כושר ושמור 24/7",1,0,1,1,0,0,1,1,0,0,11000.0,12,2603.0
דירה,נאות אפקה ב,אלתרמן נתן 12,3.0,2,70,,0.0,12,350,250,4,"מקסימה, מרוהטת לחלוטין. אזור שקט מאד",1,0,1,1,1,1,0,1,1,1,7000.0,5,9302.0
דירה,נאות אפקה ב,אלתרמן נתן 6,3.0,2,60,,,12,325,270,4,הדירה משופצת כחדשה יש מיזוג וארונות קיר בכול ה בית. מדגישה שהדירה לא מרוהטת. השכירות לתקופה קצרה בלבד בין 3 ל 4 חודשים בשלב זה. ,1,0,1,1,0,0,0,0,0,1,5000.0,6,9453.0
דירה,נאות אפקה ב,מנורה 22,2.0,0,65,15,0.0,12,350,,1,"דירת 2 חדרים בקומת קרקע, חצר קטנה צמודה , כניסה נפרדת, בדירה ארון 3 דלתות, מזגן,, מקרר. חניה פרטית",1,0,0,1,0,0,0,0,0,0,4500.0,4,5556.0
דירה,אזורי חן,אזורי חן,4.0,8,125,,0.0,12,,,11,"להשכרה באזורי חן מיידית עם נוף לים  דירת 4 חדרים + ממד בגודל של 5 חדרים  חלל אירוח גדול ומרווח משופצת, לא הייתה מושכרת אף פעם. קומה גבוהה שקטה.  ארונות/מוצרי חשמל ועוד.   2 חניות מקבילות  מפתחות במשרד",1,0,1,1,1,0,1,1,0,1,11600.0,1,7535.0
דירה,אזורי חן,אורי צבי גרינברג,4.0,7,100,,,12,,,12,בבית השחף. באזורי חן במיקום מצוין. שקטה עם נוף לים. 4 חדרים מרוהטת מלא.  חדר ממ״ד הינו חדר ארונות. שומר בבניין 24/7,1,0,1,1,1,1,1,1,1,1,11200.0,6,7852.0
גג/ פנטהאוז,הדר יוסף,הדר יוסף,5.0,12,151,,0.0,12,1980,525,13,"להשכרה לשנה/תקופה קצרה בהדר יוסף, פנטהאוס חמישה חדרים, נדיר בגודלו! שני מפלסים עם מרפסות ענקיות.2 חניות, מחסן וגג צמוד. מספר נכס 154562",1,1,1,1,1,0,1,1,0,0,15000.0,5,9607.0
דירה,אזורי חן,אליהו ברלין,5.0,8,145,,,12,1000,750,10,"דירה מרווחת ומפוארת , במיקום פנטסטי.  מרפסת שמש 18 מר  מקורה צופה לים . מחכה למשפחה חדשה שתכנס אליה . כדאי לראות ! משופץ איכותי וברמה גבוהה",1,1,1,1,1,0,1,1,1,1,18000.0,5,7192.0
דירה,אזורי חן,אזורי חן,4.0,9,170,,0.0,12,,,12,"להשכרה בגימל החדשה, בפרויקט מדהים הכולל לובי מפואר, חד""כ, שומר 24/7, וחדר אירועים, דירת 4 חדרים מרווחת, מושקעת, מעוצבת ומרוהטת, 150 מ""ר+ 20 מ""ר מרפסת מערבית עם נוף מדהים לים! קומה גבוהה",1,1,1,1,1,0,1,1,1,1,20000.0,5,7535.0
דירה,אזורי חן,אורי צבי גרינברג,4.5,8,120,,0.0,12,,,12,דירה יפייפיה להשכרה באזורי חן דירה מרווחת נוף מפתוח ממד ו2 חניות דירה כדאית מאוד!!!!,1,0,1,1,0,0,1,1,0,1,11600.0,2,7852.0
